src_ip,dst_ip,src_port,dst_port,protocol,timestamp,duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,syn_flags,rst_flags,ack_flags,label
10.0.0.16,10.0.0.2,57594,443,6,2026-09-08 10:00:02,1.5529,14,23,3528,4715,1,0,1,Benign
10.0.0.16,10.0.0.8,65118,80,6,2026-09-08 10:00:04,0.8648,7,14,1687,11480,1,0,1,Benign
10.0.0.15,10.0.0.5,53684,80,6,2026-09-08 10:00:01,1.3712,7,7,903,1813,1,0,1,Benign
10.0.0.17,10.0.0.2,56750,443,6,2026-09-08 10:00:02,0.726,25,9,5050,9468,1,0,1,Benign
10.0.0.15,10.0.0.2,55330,80,6,2026-09-08 10:00:03,1.6025,15,21,2865,4305,1,0,1,Benign
10.0.0.15,10.0.0.8,52666,80,6,2026-09-08 10:00:04,0.3983,19,9,4636,5652,1,0,1,Benign
10.0.0.16,10.0.0.8,61927,443,6,2026-09-08 10:00:08,0.147,19,27,2204,26541,1,0,1,Benign
10.0.0.17,10.0.0.8,63032,443,6,2026-09-08 10:00:08,2.2887,23,27,4968,12123,1,0,1,Benign
10.0.0.15,10.0.0.2,60776,80,6,2026-09-08 10:00:05,2.2279,25,11,2125,1331,1,0,1,Benign
10.0.0.17,10.0.0.5,62328,53,17,2026-09-08 10:00:05,0.5652,21,20,4431,22620,0,0,0,Benign
10.0.0.17,10.0.0.2,59114,80,6,2026-09-08 10:00:06,1.2145,7,6,938,2268,1,0,1,Benign
10.0.0.16,10.0.0.5,58046,53,17,2026-09-08 10:00:10,1.4605,8,19,1040,4370,0,0,0,Benign
10.0.0.16,10.0.0.2,53923,53,17,2026-09-08 10:00:11,2.0849,19,10,2717,7270,0,0,0,Benign
10.0.0.17,10.0.0.5,54781,443,6,2026-09-08 10:00:13,2.057,24,21,4032,2667,1,0,1,Benign
10.0.0.17,10.0.0.2,49421,80,6,2026-09-08 10:00:12,1.6431,12,14,1224,6132,1,0,1,Benign
10.0.0.16,10.0.0.5,57907,53,17,2026-09-08 10:00:14,1.577,13,27,2392,30078,0,0,0,Benign
10.0.0.17,10.0.0.5,51287,80,6,2026-09-08 10:00:12,2.0662,24,9,3072,5931,1,0,1,Benign
10.0.0.17,10.0.0.8,56167,80,6,2026-09-08 10:00:12,2.2345,18,14,5148,15498,1,0,1,Benign
10.0.0.17,10.0.0.8,58119,443,6,2026-09-08 10:00:11,2.225,10,25,2110,14775,1,0,1,Benign
10.0.0.16,10.0.0.2,61346,443,6,2026-09-08 10:00:18,0.8185,18,12,3546,10644,1,0,1,Benign
10.0.0.16,10.0.0.8,63249,443,6,2026-09-08 10:00:15,2.2934,9,14,1728,4634,1,0,1,Benign
10.0.0.16,10.0.0.2,50096,443,6,2026-09-08 10:00:15,0.7638,17,4,1717,3716,1,0,1,Benign
10.0.0.15,10.0.0.5,52688,80,6,2026-09-08 10:00:18,0.6288,11,15,1155,15735,1,0,1,Benign
10.0.0.16,10.0.0.8,54572,53,17,2026-09-08 10:00:15,0.8771,19,24,2717,14688,0,0,0,Benign
10.0.0.15,10.0.0.5,60613,80,6,2026-09-08 10:00:24,1.0195,25,29,1525,18212,1,0,1,Benign
10.0.0.15,10.0.0.2,65003,443,6,2026-09-08 10:00:22,0.7818,24,30,1488,25950,1,0,1,Benign
10.0.0.17,10.0.0.2,53066,53,17,2026-09-08 10:00:22,0.6427,17,16,4981,14064,0,0,0,Benign
10.0.0.15,10.0.0.8,60277,80,6,2026-09-08 10:00:23,0.73,23,21,1702,6867,1,0,1,Benign
10.0.0.16,10.0.0.5,53646,80,6,2026-09-08 10:00:23,0.5814,21,25,2436,26725,1,0,1,Benign
10.0.0.15,10.0.0.2,63760,53,17,2026-09-08 10:00:23,2.0647,24,26,3168,14092,0,0,0,Benign
